Software Name,File Size (MB),File Type,SHA-256 Hash,Sections,Digital Signature,VirusTotal Score,Network Activity,Permissions Requested,Fake?
OutlookSync_81,34.34,application/x-dosexec,832b27dc16dcc014e2823725ea512c8ef526db4998eaa2f695871f3a42490d45,19,0,7,1,1,0
OneDriveClient_81,9.72,application/x-executable,c04f448cf0fc86108dbfc1cbbc520b1b606092ac4dc2c4268fd6feef8a420542,38,0,26,0,1,0
SkypeInstaller_81,40.3,application/x-dosexec,f2b3e492426d5ca3e653e063c1411be5087d81b76d500009eebd5c1ab2cbee44,7,0,15,1,0,0
PowerPointInstaller_81,6.74,application/x-executable,7de92a7f4e2581f7f7b551b8b54fc8cbc511f81c20df61e6b2e4009bf78f8c0f,15,1,11,0,0,0
TeamsUpdate_81,0.54,exe,c366a580f62ecc01147116cb01f5336b31f53c87e018967f7ba4bedbdceff2ff,14,1,12,1,0,0
AccessRepairTool_81,5.61,exe,d7c6a261780429f44c641a8f874fdbd41e2934db20d29db61745aef14381502a,39,1,3,0,1,0
Office365Setup_81,23.62,application/vnd.microsoft.portable-executable,5a4ab1ae7006e9f7471333ff30ee4f780e65f0529011193c0aa111af52897c69,17,1,1,0,1,0
WindowsBackup_81,19.59,application/x-executable,018a5ff0d043f2fcabf338ca9a5f0316b6098391d44afb7933499169869e05b6,9,0,15,1,0,0
AdobeInstaller_82,43.54,application/x-executable,b185a7ad8e9f934b84cbfc1075c5764e0662577f8166d64deaffce4009ae75bf,7,0,9,1,0,0
WinUpdatePatch_82,40.75,exe,64494b698e4531fc6500281630be6bab0a36751fd08b6b28e1486a47a7d021e1,14,0,17,1,0,0
MicrosoftWord_82,34.77,application/x-executable,4d463a0717bdb9ed7e7ffe2c8e3697be74af36b890292fb1c4f802e1b39f2ac5,9,1,9,0,0,0
ExcelUpdater_82,25.97,application/x-dosexec,d5aa95a0467c0a6c2584d9755de7fbec01216639c3e0fbbeb28512b8d00ba975,8,1,50,1,0,0
VisualStudioSetup_82,40.91,application/x-dosexec,323843dfb37dde4c05a0e6144461596e075dc3134e0547e4614b3262733a787a,25,1,46,1,0,0
EdgeUpdate_82,38.15,exe,bf4ab4ccfb6d22b1c4c4f4fd8c6ac6637ee7a22266c4ca014626b6156e374de1,40,1,13,1,1,0
DefenderScan_82,11.7,application/x-executable,24fd17a7386d3f064342fbc1129785792c36962c74c1dcb7be3c4dc4d49f6869,40,0,17,1,0,0
OutlookSync_82,34.56,application/x-dosexec,148a37305f50e3dc757a28d9f1d5957956cb716f6b806d32b14f3e65a8f9548d,39,1,6,0,1,0
OneDriveClient_82,38.33,application/vnd.microsoft.portable-executable,a987ae143fa136320075fce7a5ad1a6046d3182d4fc06cdefed98698277d33ed,19,1,32,0,1,0
SkypeInstaller_82,14.73,application/x-executable,5d97af2293be7e1a9d529bcfcc3d0491f3cac7673d3ab483001bedfd8b5eaac2,37,1,31,0,0,0
PowerPointInstaller_82,9.26,exe,fc6f3facd3bddb40259cf4d65453b671c26188f3e452feaeaba0f13d86c1fa59,19,0,24,0,0,0
TeamsUpdate_82,38.19,application/x-dosexec,812d5abad207b12d696af6faefbdfc2e77ab90032ee6fa0466b50bfd2f7c9cf9,29,0,19,1,1,0
AccessRepairTool_82,16.3,application/x-executable,f31254e6d431691322b6474f01e249f0bbe7dc8521292634ce0e9875fb7b2348,16,0,27,1,0,0
Office365Setup_82,44.86,application/vnd.microsoft.portable-executable,9dfcc83999201c3ae9c8ba700d1b19b17cff030233d73a21b3083029e7cf3958,8,1,17,0,0,0
WindowsBackup_82,40.44,application/x-dosexec,faa69576b28de41730c03f2c52e874f551f492afd7de81732b5d8009ed17151b,10,0,9,0,1,0
AdobeInstaller_83,0.34,application/vnd.microsoft.portable-executable,0218245ddfb3143ce58d2e6a785e954427f617cb1c0cfc1da3519484e2cca8bf,39,0,21,1,0,0
WinUpdatePatch_83,41.69,application/vnd.microsoft.portable-executable,e685e9fc4bdbe4047032b6c3306d4072b052034bd5e245587c9c99112ed014d3,33,0,49,0,0,0
MicrosoftWord_83,41.18,application/x-dosexec,5bba2bf8ef55be45e3a6f6f69000a605ef54c80862f385da2963328cc2c024c7,4,0,9,0,1,0
ExcelUpdater_83,14.66,application/x-dosexec,c969f2d50405d6262c8157b96a105d1ebc3212db193ddd22ed07ff3f7bfa225e,21,1,48,0,0,0
VisualStudioSetup_83,31.88,application/x-executable,4e2b44f041128f4c259705b67abf8459011e75994a5c7f36c7fd2e7fd5ec144a,2,1,18,0,0,0
EdgeUpdate_83,10.14,application/vnd.microsoft.portable-executable,8543307f47d4646c7aa8f7d88270413393870d6641bf72117414dc7298b23931,7,1,16,1,0,0
DefenderScan_83,10.95,application/vnd.microsoft.portable-executable,92a373d34de6738345d8fef624c3542a28bb0cf5b50b35f245838ed9ff0db61e,16,1,20,0,0,0
OutlookSync_83,27.31,application/x-executable,c33aafc59bb7194b4984f03f79d88a885bb063b5401b53759b3bdc9627058bc4,25,1,40,0,1,0
OneDriveClient_83,44.57,application/x-executable,39ee61c89dfdaec5ced9794a31e6ba2a6c3bde94715f5d62c96664bc1f4dfadf,20,1,24,0,0,0
SkypeInstaller_83,7.05,application/vnd.microsoft.portable-executable,f4aa2be556a8ac83a6a4f65ad639effb28a462c97668841ca090a3c5019b86e8,19,1,6,0,0,0
PowerPointInstaller_83,14.25,application/x-dosexec,8a4fdd5c87ff775be5e3189c48ecb9f7bf6475bb91ca5e859ad7b070fb1c8b49,16,1,5,0,1,0
TeamsUpdate_83,23.53,application/x-dosexec,ef53b16843cb3167ccd5cd531dc0319e24da74cb87b8eb00cf4d5331bf0d6d4d,10,0,26,1,1,0
AccessRepairTool_83,20.43,application/x-executable,fe7f7b00df299dbd7ff40943c7a43fa585bd08d94a34daa30a23fcbe753e6cb0,15,0,31,0,1,0
Office365Setup_83,45.02,exe,c4bd15f47278d847b0125d4f4b95cf5ec42e56c95200ba6bb9d842b6aa541693,1,1,7,1,0,0
WindowsBackup_83,32.95,exe,0513075a3fca01b217904eb21362f55e5752033a062de4906e831edcdefba57a,12,0,0,1,0,0
AdobeInstaller_84,28.4,application/vnd.microsoft.portable-executable,ddbc5be9a0d98d62bbcf58d4ae559317ad0325a2ca738a8752313ea51536312c,39,0,22,0,1,0
WinUpdatePatch_84,39.92,exe,06ed4cda80b411cb67b3cfa4a3c0cab0ebe25a739dafb4771b798bc0994d7ca1,35,0,20,0,1,0
MicrosoftWord_84,30.53,application/vnd.microsoft.portable-executable,88525f5cb2cc60143f1c629acb81b5c41290e282a28ef27b48fd326bb8c2fa2f,25,1,9,0,1,0
ExcelUpdater_84,41.85,exe,593f58cb9014a33b32523eaec50499b3d7dae783c04c65898267085aa4421355,21,1,19,1,0,0
VisualStudioSetup_84,34.08,application/x-dosexec,3b27d9a5e14fab58b2ca0156de0502a702e92e917da5e66a92e658b07123ddbf,26,0,25,1,1,0
EdgeUpdate_84,34.78,application/x-dosexec,85ac0d5a8c338b76f0c6d6b755267a132dbbbd63c24db9cbc0e4d5da3f286a99,24,1,23,0,0,0
DefenderScan_84,41.52,exe,e5629b224dde4d08d0de47935a40c19b566e9189cc4b85df94db4e5aca0d1c7d,13,1,31,0,1,0
OutlookSync_84,13.04,application/x-executable,f26ddec67adcb9daf531bc85ab075a5a03bd380a1a873ec3f2c219a859b82a9b,12,1,13,1,0,0
OneDriveClient_84,5.12,application/x-dosexec,63c3fd358f3e0deef56a9ac7a3e2d3d7325bf7721e5001bd9d090c6ccc33ae93,36,1,28,0,1,0
SkypeInstaller_84,41.24,exe,c6b5301153a07a713a948a7ac5434f44b23e5bb4866c32962143db9bd94ed7b7,1,1,2,1,1,0
PowerPointInstaller_84,45.69,application/vnd.microsoft.portable-executable,7b38becd8b43d74201843a051c08434548eba94e9974d98f21b0015f52108866,11,0,39,0,0,0
TeamsUpdate_84,39.67,application/x-dosexec,e206d4b04bd90eaa0d5708ec215874d553798c723fa264162943cbdfe501f8e0,24,0,25,1,1,0
AccessRepairTool_84,18.31,exe,2491038d62d47796ac2e15aa0e25c66fa8dbc70797e981e6d05569b87cb26bb9,27,0,25,0,0,0
Office365Setup_84,47.52,application/x-dosexec,71078fea5aa49cbe29f90e8ab2093fe60c767d1f1a465710573dd90a1d705e19,3,0,34,0,1,0
WindowsBackup_84,34.81,application/vnd.microsoft.portable-executable,07a7ef7f727161b3a8e8438f7d8bba68137a141faa16281138afd5e8340770e4,36,1,22,1,0,0
AdobeInstaller_85,18.06,exe,18ea24074d41a6d1e46a4696fbd9eaaf5765627579320bde9cafbc66bae3b379,33,0,16,1,1,0
WinUpdatePatch_85,46.76,application/vnd.microsoft.portable-executable,668e15f3a964df8ef4d3ff0a5088a64aaab944fcb75dab603ceb6d1cc6a0e87d,27,0,44,1,0,0
MicrosoftWord_85,47.9,application/x-dosexec,51d739fd51f71a4ab4510a0de898f6d1059aaf71a0eb62e9023767e911efe46d,6,0,36,0,1,0
ExcelUpdater_85,44.13,application/x-dosexec,850055bf5171e2b1463e582b4673543fee79923d0bd796c4723a3626c4bcf678,10,0,42,0,0,0
VisualStudioSetup_85,14.2,application/x-executable,6588ccb768920e17704c7ad7361c9329ab0b363f71973e0b6d411ce5f8cfbb41,34,0,26,1,0,0
EdgeUpdate_85,47.49,application/x-dosexec,f108cae2e786c4f029d4aeb2025bb8a9143132e2e9c1fa3f0bb97c16f33d15a8,34,1,21,1,0,0
DefenderScan_85,41.82,exe,718f6cfdd5888eed074c341e1ba3fb07324a5a9a1320bd6a8ee4150b4d34b3a8,13,0,22,0,0,0
OutlookSync_85,2.96,application/x-dosexec,c1b67619193d58e42d88854c8dc76c85370f60ffa4b8bd57302cdbf67bb9f911,6,1,18,0,0,0
OneDriveClient_85,8.02,application/vnd.microsoft.portable-executable,385cfa4e822a6b03ae3f995206364819e20c6bf5e70a3a43803efddaf65a7027,23,1,31,1,1,0
SkypeInstaller_85,16.05,application/x-executable,e6a77f924de9956c3d136beaafae30d79e7f4c067815f8f6e539e37f83b8acf5,36,1,23,1,1,0
PowerPointInstaller_85,7.75,application/x-dosexec,dfc49cf211856fa843d904e6d1181c63d2bb80eb09601b50bb386d1cd4d09551,21,0,34,1,1,0
TeamsUpdate_85,36.48,application/vnd.microsoft.portable-executable,5786eb80686ae7c43b7a4a579e2fb094322bf9857db8e40ee60b3a2c443032ea,4,1,11,1,0,0
AccessRepairTool_85,8.79,application/vnd.microsoft.portable-executable,20980370413601f87a8c2fe0b1a21b99750ef80c0be56d6e5194d36b32e5f615,14,0,23,1,1,0
Office365Setup_85,36.64,application/x-executable,f6b5e5c8e1b08d30bcc23b1495aa591b3da9424eb44f941d65c53db65a2a7b36,38,0,27,1,0,0
WindowsBackup_85,44.84,application/x-executable,81e1086f1125bc70677e30705c62c9c8626fefe3e3856e2468919aad2fcd2704,24,0,38,0,0,0
AdobeInstaller_86,10.72,application/x-executable,315cb2bbadfa58c6ea6f96fb395a207853376e4d4e120a06cd546a0d8b5d1a8a,9,1,31,1,0,0
WinUpdatePatch_86,39.94,application/x-dosexec,52f191cc6a624fa96e3a914f35d78ec284a1ad4a487cb647114688e76c574d4a,13,1,23,0,0,0
MicrosoftWord_86,43.6,application/x-dosexec,6f7450b3fd0618da6ebfaca5b7e6b98d1c54af69b340e890aec8d9df8fbcaaac,2,0,8,1,0,0
ExcelUpdater_86,15.15,application/vnd.microsoft.portable-executable,261974b5ce8b50d91deee6774b8d0cf8b7c1a55450444ae927604d1d0b78acb8,18,0,21,1,0,0
VisualStudioSetup_86,7.27,application/x-dosexec,ff22b7918619bce823c8ca812abd8c142ee7098a97436d498a6555af464d2954,10,0,26,1,0,0
EdgeUpdate_86,43.34,application/vnd.microsoft.portable-executable,279152463be76225137ef4743ff6b2c2b5fff8d857046a847b0f8d53c741baf1,27,0,14,0,0,0
DefenderScan_86,5.81,application/vnd.microsoft.portable-executable,5dd3790a98b5fcf6546cf48bfdf7b9a2ffa551d1800fd7c96123908be8118877,26,0,17,0,0,0
OutlookSync_86,30.88,application/x-dosexec,73a8da3d723386dee4dac92cfd6d740a43ea008f49fc4b9ee1c996fde6a11abe,29,0,16,0,0,0
OneDriveClient_86,10.43,application/x-dosexec,06615ec2a72293a2123d88e25c73d11e1461ec9d8046737b2dfb28b880865103,12,1,24,1,1,0
SkypeInstaller_86,8.82,application/x-dosexec,bbd15ef8d0fecacfe5fd9b687f3d4b34583fbe2141c2f39304458f6cb24f2242,19,0,38,0,1,0
PowerPointInstaller_86,28.83,application/x-executable,a8364a6fda9daa6da66a6307580447d35bebd7dc06985bbd182523a1a250faa8,9,1,50,0,0,0
TeamsUpdate_86,42,exe,1cd11cdbd3d6013741ecc7e18bac6bf1b6a298c1a2c0296e44e9164d060bb4c7,24,0,36,1,0,0
AccessRepairTool_86,26.99,application/vnd.microsoft.portable-executable,11b94d90d5c06947a2b81989270659bfee98eae57358bc301cc331734b245876,20,1,24,1,1,0
Office365Setup_86,44.41,exe,c916d546925dda672a5a0fcc86a8963e97aa029b5ec2e1d97f160500a2ae566f,2,1,27,0,0,0
WindowsBackup_86,47.65,exe,0b78e57d9d695729c12bd33f3afc48c50efe0bbe7d993ee985375d7bc3c293db,1,1,13,1,1,0
AdobeInstaller_87,6.24,application/x-executable,ec049deef3e919b56afabba4ec179ea35d6252fdf216f355fa7fef573cc5a2d7,26,0,36,0,0,0
WinUpdatePatch_87,21.71,application/x-dosexec,1f082b588ff9a3eec004c26600f61d97216e2dc97dfc4b83e09ff3f9c24da880,3,1,13,0,1,0
MicrosoftWord_87,10.37,application/vnd.microsoft.portable-executable,a3290e9fd1b8ba179eb84962faf4da34e9ee211738b751eaa12c32995041569b,36,0,7,0,0,0
ExcelUpdater_87,38.17,application/x-dosexec,fbedde19c1ebcb81eaeef9a66644fa85f85e54403315fc3d4eb334b1da5af343,32,1,12,1,1,0
VisualStudioSetup_87,35.22,application/vnd.microsoft.portable-executable,1f787ff2ae9369a6b166e3dc15ab145d5076ff819c81460833338e7ed0ba48dc,6,0,18,0,1,0
EdgeUpdate_87,18.06,application/x-executable,cefaaab69b2e5785961ce16aaf1bb43bb34c44b7048c2f6810ffae880b6077a9,32,0,42,0,1,0
DefenderScan_87,35.21,application/x-dosexec,179062ae53e9f70f6209d6241f2f562775d338ab560e1a7e32865cb13772e62c,2,0,25,1,0,0
OutlookSync_87,41.92,application/vnd.microsoft.portable-executable,00b4e9ad88110c424ed78440127e68a70201c2529d3ad93ba85b34c0c75b19ba,28,1,51,0,1,0
OneDriveClient_87,41.54,application/vnd.microsoft.portable-executable,50b79fb2390fcb20a104714a4833560566ef6336674ed5202ac2ff74b1a77c0e,2,0,10,1,0,0
SkypeInstaller_87,21.28,application/x-executable,569a5bb0719ef8f942c7b3f4181ad113d9a4300d7237aa0facc308328c579d1a,22,1,7,1,1,0
PowerPointInstaller_87,22.35,application/vnd.microsoft.portable-executable,9e4775aa4e84efe9a72c395079ff3d85cef874ac697e11e4d04992163624fbbf,30,0,3,0,0,0
TeamsUpdate_87,29.28,application/x-dosexec,a6dab3f6032fa010c20cb87f9507664e5675d0b24ae5dc6eb217f1919ea50510,37,0,32,0,1,0
AccessRepairTool_87,33.39,application/x-dosexec,90097f91cfe79009f8cde7af41450dc83634387caea3b223c9ee4e3b078379af,21,1,34,0,0,0
Office365Setup_87,32.33,application/vnd.microsoft.portable-executable,a3b9f9e3b4234e2284fe7e7d4e60765b87060f41295a05cd850fe8e62ce09332,26,0,5,1,1,0
WindowsBackup_87,10.55,application/x-executable,24319d8c1a52c6d8eacf67c2f0bb50d2e4acb01c757b4f81dce73b40588a2b39,38,1,22,1,0,0
AdobeInstaller_88,35.58,application/x-executable,387e44c524764e0ae1aa8355afb43ed5df047c957c5d324758f101634e12dbd7,11,0,14,1,0,0
WinUpdatePatch_88,2.56,application/vnd.microsoft.portable-executable,085ba334c8be88f80fccb034e541c9ef5968e533764ce8bd1638d44b61744bc2,35,0,17,0,1,0
MicrosoftWord_88,42.05,application/x-dosexec,36851e985b98c10c212989e895e3df463ccddfa6018d797fb011176f776d823c,17,1,13,0,0,0
ExcelUpdater_88,46.39,application/x-dosexec,7ee87fd5891d07114bc7a38d3767911c1de7e7a9133680c77c7a042017bd57e8,5,0,10,1,1,0
VisualStudioSetup_88,20.95,application/x-executable,71c1dff8c37aaef6f251b5b9b2a5c437651b5298449608a591c9c6705289fa9d,31,1,7,0,0,0
EdgeUpdate_88,14.98,application/vnd.microsoft.portable-executable,f311dfa0038b3c362774c7c5c2961ea0d4afb63f451ee3a44157525a1b29e37f,6,1,23,0,0,0
DefenderScan_88,39.58,application/vnd.microsoft.portable-executable,7562fc411b033b4a84afc493d14043669eb005aec5f5c55a452f1f84f4f9b5d5,36,1,10,0,1,0
OutlookSync_88,33.23,application/x-dosexec,c695c50ad402a622ae7ec8137997ec5082ebde965c19bf22a266f2dfb92febdb,18,1,19,1,1,0
OneDriveClient_88,24.72,exe,23230aebc86086ee02f7ed824aa4304a8d1d099f83efa14b8b290852e7dbda98,12,1,14,1,0,0
SkypeInstaller_88,17.71,application/vnd.microsoft.portable-executable,1e9b2ad2619007a6d97f65b794445493ab989ae5b1646ca5b0e2b32a5c047317,38,1,36,0,1,0
PowerPointInstaller_88,49.06,application/x-executable,635e6a4b9652dabd4fab371457844a668bcc9edfe588b74e5824f8612650a9ef,38,0,13,1,0,0
TeamsUpdate_88,1.11,application/x-dosexec,f6280235e906ef008b54acfbfd0fe3503434ee5af35a5b012127866d45b8fbfe,6,0,19,1,1,0
AccessRepairTool_88,17.89,exe,4c7500ba601e40fd930514c18489368cfd2bfd0d3500a545512ce5ec76ba65ec,14,0,9,0,0,0
Office365Setup_88,35.99,application/x-dosexec,b95b2355d416dd72528508cce4b49280d3230b9f21a3918e917fbae8b8d003b7,22,0,13,0,1,0
WindowsBackup_88,27.82,application/x-dosexec,0f737353ed63e71ec7aec18e74019ee19f4168af866ba257db29dee3f9e57079,26,1,31,0,1,0
AdobeInstaller_89,37.53,application/vnd.microsoft.portable-executable,a31e37a692cd317e15fe61ec87047b5852b1e6c98500972cd78850bfb449ac77,10,1,2,0,1,0
WinUpdatePatch_89,32.52,exe,1de07be2f6770971d4f169e4c4dd262ddc03321dbfefcedb1571a3447d26fa4d,19,1,15,0,1,0
MicrosoftWord_89,23.51,application/vnd.microsoft.portable-executable,a5ac7e92825d826ffe828473527317fdaecb6d2fb99a22f14dd3555a4d25f29d,5,1,3,1,0,0
ExcelUpdater_89,43.32,application/vnd.microsoft.portable-executable,9a4cea047f4cc21abdd2f6e562e2d21fb46cf4a49333d667843f293d2f5de3b3,36,0,16,1,0,0
VisualStudioSetup_89,13.55,application/x-dosexec,d78459008893c9fa4f58682ebac37984a6a696806857fd019b6b54e8b4ff50bb,15,0,12,1,1,0
EdgeUpdate_89,27.3,exe,e09d62a8e268408db024bbec2d65532922505dad4c2e8eea26f6c81f63c87dda,38,1,23,1,1,0
DefenderScan_89,6.21,exe,58b1304875c3feb7c1fb09f7430cdfedcac2142676d0a2f6a5c1e1c938142c6b,39,0,33,1,0,0
OutlookSync_89,34.85,application/vnd.microsoft.portable-executable,af124d1cecb30d30c728211f6f2de547cd3052d758edb1782b961439c543f8a7,3,1,7,1,0,0
OneDriveClient_89,21.13,application/x-dosexec,46f3ab5e847469d0e7ab62665ab8ce03744ab3604ec8226958257b90125b05eb,15,1,14,0,0,0
SkypeInstaller_89,14.94,application/x-executable,1641a27c67bf315d6d57a6ca4885395801d35a29ee272af49464ca99c69b9236,12,1,6,0,0,0
PowerPointInstaller_89,39.28,application/vnd.microsoft.portable-executable,ab40226e40b5a9f0808eb5ab8c18962a0e305e83655bc6723f4869e2ad98e76e,28,1,37,1,1,0
TeamsUpdate_89,39.07,application/x-dosexec,13aa91454d6fa5a20fa5ad3259805a1d58e57ec84f0927f7810e6e45767eb1d1,28,0,39,1,0,0
AccessRepairTool_89,43.8,exe,0bbb6e0e314d6d5b864d1e01f926f12ba1603b2d6e39773cc1f1cbbcbe33ec5d,12,1,31,1,1,0
Office365Setup_89,34.74,application/vnd.microsoft.portable-executable,384e330c9afdfecab90342111c4966804a7cc3d94107271d68cbedab15196916,11,0,44,0,0,0
WindowsBackup_89,9.06,application/vnd.microsoft.portable-executable,d60bf3c02f706b53ce4c877f5f55960a662667d29b212e743d99f1d8c0677eb4,28,0,15,0,1,0
AdobeInstaller_90,35.46,application/x-dosexec,2751e289ca1ee18f16d8a5e802ecb8684d11fbb8375ec6b52178c5a8bead0947,6,0,13,0,1,0
WinUpdatePatch_90,46.55,application/x-executable,99a68306aeb3c998b2dbb5cf34c4e9fa504bb8347a901e883080ad4934860752,29,1,22,1,0,0
MicrosoftWord_90,17.11,application/vnd.microsoft.portable-executable,3f475d978bb68bca65f79e19dbc5f3e011b6ee77dff8db8b749ce7d6e667cccd,23,0,26,1,1,0
ExcelUpdater_90,48.69,exe,32d232b8865638295c8672190a82d6b0a969af6c6d4de98e6cad74ede8d548af,24,1,49,0,1,0
VisualStudioSetup_90,1.58,application/vnd.microsoft.portable-executable,ec76c5b489a13852550d2d53dbb59124cba834dedf80b6d5cac803cf142ab794,17,1,32,1,0,0
EdgeUpdate_90,36.99,exe,2b49e17fe255214b6ed86f890a0c4fa4ce72880bf910216b0e23e66aeff17ab2,5,1,47,1,1,0
DefenderScan_90,14.28,application/vnd.microsoft.portable-executable,66e3e81aeee61ca32047e629fe319956538deebc9ac9c5349eefac52396267db,40,0,17,0,1,0
OutlookSync_90,34.26,application/x-dosexec,49dcbabb24bdfbd0ab227e90bf44758e9b3077ce25d5128865d6bd8617f8acee,31,0,21,0,1,0
OneDriveClient_90,48.12,application/x-dosexec,c35d2c1c7431ba2b65c39515560d8cd21f1e58ba8c04acde48eaf6f724339ba6,17,0,1,0,1,0
SkypeInstaller_90,16.26,exe,9fb486fb3324d5ef121524d115b26118ec52d2c10b65a3b8efec484bfc50fa6d,18,1,24,0,0,0
PowerPointInstaller_90,0.6,application/x-dosexec,2301385edc0c06e86695d1068a19614f90085ca780b20e6a2fa93592c12531ae,33,0,29,1,1,0
TeamsUpdate_90,45.84,application/x-executable,9d5764bed513b8686f7ee5d1fbfdae4a88ec04af87bd8183772c4dba2c06a610,17,1,22,1,1,0
AccessRepairTool_90,32.09,application/x-executable,c5ee96cd6063b7f13a2988e27126b7b3f98c605226efdf48c55a19bff54eae94,16,0,27,1,0,0
Office365Setup_90,43.71,application/vnd.microsoft.portable-executable,cd38001756b0bc0ef5411915d9c7a85a261a1f87a7f9ad19a9402f445af3d82a,40,1,15,0,1,0
WindowsBackup_90,41.99,exe,77ff77218cad899e97fc91dce4e9a055d560629a75b485d3fd8c16ac0de2d3ac,17,0,17,1,1,0
AdobeInstaller_91,35.53,exe,8746f730a50590c8d69f574daa1cf79134568dd9895163b047b823d96fab6093,18,0,29,0,1,0
WinUpdatePatch_91,26.08,exe,dc795c544a4a7fb43ca48650ac4341d9a5646df9ba3a14fb695eb0a5eaae9019,37,1,26,0,0,0
MicrosoftWord_91,19.6,exe,1b1f57075aac1f0afcbe38e05061843f9da3459bdfb474fc5cf4a887c3669122,37,1,19,0,0,0
ExcelUpdater_91,7.29,application/x-dosexec,c531e8e9e69612d802013025b6945b6f3905e395ae722754810e852d67f68eb9,8,0,22,0,0,0
VisualStudioSetup_91,0.82,application/vnd.microsoft.portable-executable,be78df425f1db1a55f373e3f7dc53c73a225ab4e600cad57b7134c5f8bc0c3ed,30,0,23,0,0,0
EdgeUpdate_91,25.4,application/vnd.microsoft.portable-executable,0fe9a7842ebd1337358061a08cc81a7043f2d66a437b3e6b131a2369e61d49df,25,0,48,0,0,0
DefenderScan_91,18.64,application/x-dosexec,914740b8ee0719ca7dcc8e2419f52b39ec857704ffc531bbbe1a452486d5b74d,19,1,1,0,0,0
OutlookSync_91,32.06,application/x-dosexec,f298c4de76d253703ccd2c9fbf2b71fee6cc3837256977aaf0e97f759d253aa2,38,1,30,1,0,0
OneDriveClient_91,39.15,exe,a18ff3ff2a5a1ff67b24339ee60ab0c30d51d790c7e6ade54b16404c6cbbec33,13,1,6,1,1,0
SkypeInstaller_91,1.75,exe,91e3c9b819af9affe28ed874ce4288177da8328ed00f8eef5f6b4da930c8ec5a,2,1,39,1,0,0
PowerPointInstaller_91,0.09,application/vnd.microsoft.portable-executable,12b60752ffd926e5a312f506fc98bd0701c6c24f7f731b2a93c5e3d999edf552,35,0,11,0,1,0
TeamsUpdate_91,2.11,application/x-dosexec,025934398e6dd7b4e5ed3e67bcaf2dd47bb14083b1a0d7681f0ac6906dde8c93,24,1,12,1,1,0
AccessRepairTool_91,14.72,exe,02e618d56e6a25a57d259d0a571e1d8d29cddefc59f840a6ec7487b4d3108908,25,1,24,1,0,0
Office365Setup_91,0.74,application/x-dosexec,c28249651de573c8e865f559a88bb7be66bcde91ff44dda25e7cbf622f7b60d0,36,0,45,1,1,0
WindowsBackup_91,27.1,exe,136c8ac3f4f771c4f29c07e70f204e9b0a08dd9a66fa6c15321df26d67bc7071,18,0,49,0,0,0
AdobeInstaller_92,40.56,application/x-executable,239ac15b353823619df7f9c188f7459f0d7345d2193acbe78a6e0bdfc1aae3b6,24,1,42,0,0,0
WinUpdatePatch_92,18.65,application/x-dosexec,a3bfbf3c3be77e068fa97790fad7459ebdb130c385afbb965a7472dab5b7245d,21,1,16,0,1,0
MicrosoftWord_92,10.99,application/x-executable,a5a913f803426d08e8458ea1527170f64154d445d7bc6d8ce806957045f9391d,27,0,2,0,1,0
ExcelUpdater_92,41.37,application/x-executable,025e8d21e4bbda09a1fc75bcb144d95aef7f6072d75f58282d82ec8fbbd74bf0,31,0,6,1,0,0
VisualStudioSetup_92,48.74,exe,a8e6616cdaeffaca0044296732da2df6e3201a33f220edfed86b763e7e22deb0,30,0,7,0,1,0
EdgeUpdate_92,4.05,application/x-dosexec,be3505d3fdbd1728bdaa7c515ec19924c805b5452b4ee2c0035aca42887a24f8,24,0,11,1,1,0
DefenderScan_92,40.54,exe,fcb324fc8b5a4c1be0fa54573a12e2f52b63dec556ef337b07b1d822a691a1e3,37,1,39,1,0,0
OutlookSync_92,48.87,exe,d4474e3c76e322d269a34277d4dd55b4eeb1ba841d523ade1131a2f71f81d0c4,20,0,14,1,0,0
OneDriveClient_92,12.9,application/x-dosexec,92792d0e923ecc11125555cc30a67e6c14e6c3c31eb5c1c8b290793dbb324d76,10,0,10,0,0,0
SkypeInstaller_92,1.96,application/vnd.microsoft.portable-executable,ec568bd924347be802bcb2c1cec1478f23829dc477041f8c5244d7f4dcf3423c,29,1,7,1,1,0
PowerPointInstaller_92,46.06,application/x-executable,209377710bc7988b8312ca54d6ec51e4a7dd024972a506f608b7240eb4258bae,26,0,22,1,1,0
TeamsUpdate_92,27.05,application/x-executable,260b925bca04a919dac1e49f04e047cbf5f16fe3c43fbb494566a8c37c05a0c0,21,0,26,0,0,0
AccessRepairTool_92,33.31,application/x-dosexec,5a4c4ac6080d8509c6bea5e1636f1d7c7b46480b4ab4fd38700b8f039bf6c2d1,15,1,5,1,0,0
Office365Setup_92,4.75,application/x-dosexec,a8476b9398d41082a06f4e6d7d008ff7f823e78a440831a298b09bb248e9bc28,10,1,10,0,1,0
WindowsBackup_92,15.76,application/x-executable,0922d16b25ffb1473494418f094c2b2145bcf9ecdef9b316f70e20396e7a1e99,6,1,3,1,0,0
AdobeInstaller_93,21.89,application/x-executable,b8d09a1c351e29fa4c6396042f9312f649df3ca731a7bb207e26c8524a3c290b,37,0,0,0,0,0
WinUpdatePatch_93,37.98,application/x-dosexec,3eb0daa721c7f9789cd19d9403930e1fc3d2e4b807fd1f979e41a876bd53180e,6,0,7,0,1,0
